place_id,name,rating,review_count,price_x,categories,phone,address,neighborhoods,website,images,yelp_url,lat,lon,hours,price_y,type
mZRKH9ngRY92bI_irrHq6w,Richmond Station,4.4,972,$$$,['Canadian (New)'],(647) 748-1444,"1 Richmond Street W Toronto, ON M5H 3W4 Canada",['Downtown Core'],https://richmondstation.ca,"['https://s3-media0.fl.yelpcdn.com/bphoto/lImSa1sqeWdz3gTfFq1F7A/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/BHuldfoV0FRydsRkFS2wEg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/R8Avi7QyCcXJhsCwVF0rCg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/q-jUX3DgkS9UmC3fQ72ipg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/TrsOKlitasfCqW6L9YTjWg/l.jpg']",https://www.yelp.com/biz/mZRKH9ngRY92bI_irrHq6w,43.651453599999996,-79.3794917,"[{'wednesday': '11:30\u202fAM–2:30\u202fPM, 4:30–10:30\u202fPM'}, {'thursday': '11:30\u202fAM–2:30\u202fPM, 4:30–10:30\u202fPM'}, {'friday': '11:30\u202fAM–2:30\u202fPM, 4:30–10:30\u202fPM'}, {'saturday': '4:30–10:30\u202fPM'}, {'sunday': '4:30–10:30\u202fPM'}, {'monday': '11:30\u202fAM–2:30\u202fPM, 4:30–10:30\u202fPM'}, {'tuesday': '11:30\u202fAM–2:30\u202fPM, 4:30–10:30\u202fPM'}]",CA$100+,"['Canadian restaurant', 'Eclectic restaurant', 'Restaurant']"
Fx5haZv9PP3E7Ljp-h7B1Q,Eggspectation - Bay Street,4.1,852,$$,"['Breakfast & Brunch', 'American']",(416) 979-3447,"483 Bay Street South Tower Toronto, ON M5G 2C9 Canada",['Downtown Core'],https://www.eggspectation.ca/bell-trinity-square/,"['https://s3-media0.fl.yelpcdn.com/bphoto/se6oZsw28au5Pi8ShzYeng/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/M8oODLt4CP1E3CVtCE9HZA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/6kV58SGlQWEushN_GkNbfg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/tZA1zZJvG-KWMweLcFe_UQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/ewCtilIStcLoq6IuhMWD6Q/l.jpg']",https://www.yelp.com/biz/Fx5haZv9PP3E7Ljp-h7B1Q,43.6532863,-79.38187789999999,"[{'wednesday': '7\u202fAM–4\u202fPM'}, {'thursday': '7\u202fAM–4\u202fPM'}, {'friday': '7\u202fAM–4\u202fPM'}, {'saturday': '7\u202fAM–5\u202fPM'}, {'sunday': '7\u202fAM–5\u202fPM'}, {'monday': '7\u202fAM–4\u202fPM'}, {'tuesday': '7\u202fAM–4\u202fPM'}]",CA$20–30,['Brunch restaurant']
trKyIRyjKqVSZmcU0AnICQ,Pearl Diver,4.2,670,$$,"['Seafood', 'Comfort Food', 'Breakfast & Brunch']",(416) 366-7827,"100 Adelaide Street E Toronto, ON M5C 1K9 Canada","['Corktown', 'Downtown Core']",http://www.pearldiver.to,"['https://s3-media0.fl.yelpcdn.com/bphoto/cTT50hHdORr_TYSjymMzkQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/jFCRr2gwSTd41fdgtNQuKA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/i70g_X-yhSrEah0uys75qA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/Og3eoPoVGrZdu_frpmBaVA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/KKywtO5ZeTonmsk0a30blQ/l.jpg']",https://www.yelp.com/biz/trKyIRyjKqVSZmcU0AnICQ,43.651602399999994,-79.3737975,"[{'wednesday': '4:30–10\u202fPM'}, {'thursday': '4:30–11\u202fPM'}, {'friday': '4:30–11\u202fPM'}, {'saturday': '4:30–11\u202fPM'}, {'sunday': '3–9\u202fPM'}, {'monday': 'Closed'}, {'tuesday': 'Closed'}]",$$,"['Seafood restaurant', 'Oyster bar restaurant']"
cbAVxQjvujfZU0RvqAmtzg,Mogouyan Hand-Pulled Noodles,4.5,147,$$,"['Noodles', 'Chinese']",,"124 Dundas St W Toronto, ON M5G 1C3 Canada","['Downtown Core', 'Discovery District']",https://mogouyannoodles.com,"['https://s3-media0.fl.yelpcdn.com/bphoto/HuptZw6MQIzEePkJFR8TGQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/8oNC8JWgVyh__JEIotoB8g/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/ARhDVn-GUxayNvJcYB5Yrg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/XudpZs6kP7O6V3DHrxrVDA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/rzDpUweJ699rK3qsorxStw/l.jpg']",https://www.yelp.com/biz/cbAVxQjvujfZU0RvqAmtzg,43.655692099999996,-79.3845106,"[{'wednesday': '11:30\u202fAM–11\u202fPM'}, {'thursday': '11:30\u202fAM–11\u202fPM'}, {'friday': '11:30\u202fAM–12\u202fAM'}, {'saturday': '11:30\u202fAM–12\u202fAM'}, {'sunday': '11:30\u202fAM–11\u202fPM'}, {'monday': '11:30\u202fAM–11\u202fPM'}, {'tuesday': '11:30\u202fAM–11\u202fPM'}]",CA$20–30,"['Chinese noodle restaurant', 'Asian fusion restaurant', 'Chinese restaurant', 'Chinese takeaway', 'Takeout Restaurant', 'Noodle shop']"
vvapae5E4fnZXWG8Wylzyw,Gyubee Japanese Grill - Dundas,4.2,316,$$$,"['Japanese', 'Barbeque']",(416) 639-1545,"157 Dundas St W Toronto, ON M5B 1E4 Canada",['Downtown Core'],https://www.gyubeejapanesegrill.com,"['https://s3-media0.fl.yelpcdn.com/bphoto/Fm8R0ENG_ABs9hoamfbnPg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/iz7ce7WYpYW4EdmHh21sSw/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/q7KKNo0e-eh4UyWSvI5i1Q/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/py32TreCCYRw85fWowdMAQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/9YI0PYIOVVOeon5Mmhty5g/l.jpg']",https://www.yelp.com/biz/vvapae5E4fnZXWG8Wylzyw,43.6551575,-79.3857822,"[{'wednesday': '12–11\u202fPM'}, {'thursday': '12–11\u202fPM'}, {'friday': '12\u202fPM–12\u202fAM'}, {'saturday': '12\u202fPM–12\u202fAM'}, {'sunday': '12–11\u202fPM'}, {'monday': '12–11\u202fPM'}, {'tuesday': '12–11\u202fPM'}]",CA$40–50,"['Japanese restaurant', 'Restaurant']"
saijdv-vXJrvsCfvr7SZOw,Katsuya,4.4,561,$$,"['Japanese', 'Asian Fusion']",(416) 591-7756,"66 Gerrard Street E Unit 100 Toronto, ON M5B 2M2 Canada",['Downtown Core'],http://www.katsuya.ca,"['https://s3-media0.fl.yelpcdn.com/bphoto/lwMzM-YD0YuyjH-KebLmGQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/rhpUZsgzd61u9U6vaFuChA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/9P3Cias6N0fOwo3bU3BeCA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/7SmHLLBI7rFYpt9cZWissg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/l83m1mRhT1Bqg_30exbLgw/l.jpg']",https://www.yelp.com/biz/saijdv-vXJrvsCfvr7SZOw,43.6599161,-79.37888079999999,"[{'wednesday': '11\u202fAM–10\u202fPM'}, {'thursday': '11\u202fAM–10\u202fPM'}, {'friday': '11\u202fAM–11\u202fPM'}, {'saturday': '11\u202fAM–11\u202fPM'}, {'sunday': '11\u202fAM–10\u202fPM'}, {'monday': '11\u202fAM–10\u202fPM'}, {'tuesday': '11\u202fAM–10\u202fPM'}]",CA$20–30,"['Restaurant', 'Japanese restaurant']"
SXYgArUxyNdF2f8PvblehQ,Flipper's,4.4,59,,['Pancakes'],(905) 878-0986,"31 Elm Street Toronto, ON M5G 1H1 Canada",['Downtown Core'],https://www.flipperscanada.com,"['https://s3-media0.fl.yelpcdn.com/bphoto/BtZA0hGC2rJbpPaplwj2NQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/KDyFcWvlSHfjz0W3ce4YDQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/BIvqWAQSk11h1lj64Z7ORw/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/YvAwX0eBHIy57CNj2Hg1Tg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/gnI2XzLBFfkgz-h1hr4LBQ/l.jpg']",https://www.yelp.com/biz/SXYgArUxyNdF2f8PvblehQ,43.657458299999995,-79.3831522,"[{'wednesday': '8\u202fAM–4\u202fPM'}, {'thursday': '8\u202fAM–4\u202fPM'}, {'friday': '8\u202fAM–4\u202fPM'}, {'saturday': '8\u202fAM–5\u202fPM'}, {'sunday': '8\u202fAM–5\u202fPM'}, {'monday': '8\u202fAM–4\u202fPM'}, {'tuesday': '8\u202fAM–4\u202fPM'}]",CA$20–30,"['Restaurant', 'Breakfast restaurant', 'Brunch restaurant']"
cQK9M2JAwETQnnBoYyua5A,The Senator,3.9,524,$$,"['Breakfast & Brunch', 'Canadian (New)', 'Wine Bars']",(416) 364-7517,"249 Victoria Street Toronto, ON M5B 1T8 Canada",['Downtown Core'],http://www.thesenator.com,"['https://s3-media0.fl.yelpcdn.com/bphoto/86sl30tHfi_qS56-TfoJDw/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/HJTUD02FJIBVJZ0yRJCKHA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/LbqqA87oq434AMVaEU2ABw/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/on6ud6VG8TFUPJvRm18rAQ/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/WLQ9kQFCkrn3UhmXJ4BzQQ/l.jpg']",https://www.yelp.com/biz/cQK9M2JAwETQnnBoYyua5A,43.6557062,-79.37917379999999,"[{'wednesday': '5–8\u202fPM'}, {'thursday': '5–8\u202fPM'}, {'friday': '5–8\u202fPM'}, {'saturday': '9:30\u202fAM–2\u202fPM, 5–8\u202fPM'}, {'sunday': '9:30\u202fAM–2\u202fPM'}, {'monday': 'Closed'}, {'tuesday': '5–8\u202fPM'}]",CA$20–30,"['Diner', 'Restaurant']"
h3PhHT3wM3alY8Of7Pov7g,Congee Queen,4.0,117,$$,"['Cantonese', 'Hong Kong Style Cafe', 'Noodles']",(416) 200-6988,"360 Yonge Street Toronto, ON M5B 1S5 Canada",['Downtown Core'],https://www.congeequeen.com,"['https://s3-media0.fl.yelpcdn.com/bphoto/xyNHonZVDA0mooODu-aYUw/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/_yZtb6aMz1GOTCoZt_SsAg/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/5yD55Me8geDBb6BkVfBcbw/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/KY9AExnNFMDp-alUkgMnOw/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/kiN1a2W9V7cL9d1uP_6idQ/l.jpg']",https://www.yelp.com/biz/h3PhHT3wM3alY8Of7Pov7g,,,,,
-smUKwiwkWmz1qWUcgqYsg,Cafe Oro Di Napoli,4.5,155,$$,"['Pizza', 'Italian']",(416) 315-7979,"75 Jarvis Street Toronto, ON M5C 2H2 Canada","['Corktown', 'Downtown Core']",http://cafeorodinapoli.ca,"['https://s3-media0.fl.yelpcdn.com/bphoto/7VTrr0Ll1tyRNOnk-0BZ9Q/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/d-O_JHNzF2L24fviWraHPA/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/Tg_b4buUjyTtuzIC37f-Fw/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/WdmN5r9q1UVUz91MQQjD5w/l.jpg', 'https://s3-media0.fl.yelpcdn.com/bphoto/01cpGtQb2scOA34Hmp87XA/l.jpg']",https://www.yelp.com/biz/-smUKwiwkWmz1qWUcgqYsg,43.6512217,-79.37209229999999,"[{'wednesday': '12–10\u202fPM'}, {'thursday': '12–10\u202fPM'}, {'friday': '12–10\u202fPM'}, {'saturday': '12–10\u202fPM'}, {'sunday': '12–10\u202fPM'}, {'monday': '12–10\u202fPM'}, {'tuesday': '12–10\u202fPM'}]",CA$20–30,"['Italian restaurant', 'Restaurant']"
